question,response
Do I need to go to court?,"<p><span style=""font-family: Times New Roman; font-size: medium;"">Traffic Misdemeanors, Conservation Citations, Child Restraint Violations, Driving While Suspended as well as some Local Ordinance Violations all require a Court appearance. You will receive a Court Date at the address on your Ticket.&nbsp; Most other violations can be paid with no Court Appearance needed</span></p>"
What happens if the Ticket is not paid timely?,"<div><span style=""font-family: Times New Roman; font-size: medium;"">Your License will be suspended for a Failure To Pay.</span></div>"
Where can I get my current license number required during the sign up?,"<p>Your current license number should be listed on the receipt issued when you paid your license fee or your last renewal fee. Note that this number changes every year so use the most recent one.</p>
<p>If you don't have the receipt, please contact the Building Department at 219-755-3700.</p>
<p>During the sign up, make sure to review the information displayed after providing your license number. Do not proceed with signing up if the information displayed is incorrect or if you get invalid license number error message.</p>
<p>If you proceed without specifying valid license number, your account will not be properly associated with our contractor records and you will not be able to renew online.</p>"
Can I create multiple accounts with the same license?,"<p>Currently, you may only create a single account per license.</p>"
I have multiple licenses. Can I create one account for all my licenses?,"<p>Currently, <span style=""text-decoration: underline;"">each</span> license requires a <span style=""text-decoration: underline;"">separate</span> account with <span style=""text-decoration: underline;"">unique</span> email address.</p>"
How do I lookup recorded insurance or bond document number?,"<p>This number can be found on the Lake County Recorder's website AFTER you record your documents.</p>
<p>Go to <a href=""https://www.lcrecorder.com/records/search/"">https://www.lcrecorder.com/records/search/</a> and search for your document. After locating the document, click the Show link and the document number will be found in the Legal Description (<span>New Public Lookup ID).</span></p>"
Can I use a blank license renewal form downloaded from the County website?,"<p>No, only the Renewal Application form downloaded from your Contractor Dashboard will be accepted. The downloaded form has all your current information pre-filled.</p>
<p>If any of this information changed (for example, the applicant name), you may not renew your license online.</p>"
Is certificate of insurance and/or proof of bond required?,"<p>If your certificate of insurance or proof of bond is expired, you may update it during the online renewal process. It is optional to provide it but</p>
<p>Note that you will be asked for the <span style=""text-decoration: underline;"">recorded document number</span> and NOT the document itself.</p>
<p>Recorded document number is obtained when you record the document at the Lake County Recorder's Office.</p>
<p>This number is called <span><strong>New Public Lookup ID</strong> and </span>can be looked up online by going to <a href=""https://www.lcrecorder.com/records/search/"" title=""Lake County Recorder Website"">https://www.lcrecorder.com/records/search/</a></p>"
Can I renew online if the license holder's name changed?,"<p>If the name of the license holder changed, you may NOT renew online. You will have to re-apply for a new license.</p>
<p>More information is available by going to the following link: <a href=""https://lakecounty.in.gov/departments/planning-commission/building-department-forms-c/forms/?f=/departments/planning-commission/building-department-forms-c/forms/Contractor_Licensing_Packet.pdf#view=Fit"">https://lakecounty.in.gov/departments/planning-commission/building-department-forms-c/forms/?f=/departments/planning-commission/building-department-forms-c/forms/Contractor_Licensing_Packet.pdf#view=Fit</a></p>"
Can I renew online if my license expired more than 5 years ago?,"<p>If your license has expired more than 5 years ago, you may not renew online. You will have to re-apply for a new license.</p>
<p>More information is available by going to the following link: <a href=""https://lakecounty.in.gov/departments/planning-commission/building-department-forms-c/forms/?f=/departments/planning-commission/building-department-forms-c/forms/Contractor_Licensing_Packet.pdf#view=Fit"">https://lakecounty.in.gov/departments/planning-commission/building-department-forms-c/forms/?f=/departments/planning-commission/building-department-forms-c/forms/Contractor_Licensing_Packet.pdf#view=Fit</a></p>"
Can I renew online if my business address has changed?,"<p>If your business location has changed, you may still apply online but you will need your local zoning board complete the Section 4 of the downloaded Renewal Application.</p>"
I don't see the link to download Renewal Application?,"<p>This link will be ALWAYS available if your license is expired. If your license is still valid, the link becomes available ON or AFTER December 1st of each year.</p>"
How much does it cost to renew online?,"<p>The license renewal cost is $75 per year. You will be charged $75 for every year the license was in expired state.</p>
<p>The payment processor (not the agency) charges 2.5% or $1.49, whichever is greater, transaction fee on all online license renewal fees paid.</p>
<p>If you don't want to incur the transaction fee, you may download a blank Renewal Application, complete it, have it notarized and then bring it in or mail it to the Building Department. If mailed, please enclose a check for total amount due. If in person, you may use check or cash.</p>
<p>The blank form can be downloaded here: <a href=""https://lakecounty.in.gov/departments/planning-commission/contractor-licensing/"">https://lakecounty.in.gov/departments/planning-commission/contractor-licensing/</a>&nbsp;</p>
<p>Note that the blank form cannot be used for online renewals.</p>"
Can I renew for current and next year in a single transaction?,"<p>Next year renewals are accepted on or after December 1st of each year.</p>
<p>If you license is expired, you may renew at any time.</p>
<p>If you renew expired license <span style=""text-decoration: underline;"">before</span> December 1st, your new license will be valid until the end of current year and you will have to renew again after December 1st for the next year.&nbsp;</p>
<p>If you renew expired license <span style=""text-decoration: underline;"">after</span> December 1st, you will have the opportunity to renew for next year in a single transaction. For example, if you owe $75 to get your license current, total amount due will be $150 (current year + next year).</p>"
How can I replace a document I uploaded in error?,"<p>You may replace any uploaded document as long as your request is in Draft state. Once you submit your request and it's Pending, you may no longer replace it. Use the ""Ask Question"" option to request assistance with document replacements.</p>"
When is the vaccine going to be available?,"<p>Pfizer and Moderna COVID-19 vaccines have been approved for an Emergency Use Authorization (EUA) from the FDA. A limited supply of the approved vaccines are currently being administered to health care personnel that have direct patient contact and at long-term care facilities. The ACIP (Advisory Committee on Immunization Practices) has developed an allocation prioritization list dependent on individual risk factors. When vaccine is available (tentatively mid-January) the Lake County Health Department along with other partners will start vaccinating community members based on CDC/ACIP recommendations. Further information on vaccination locations and times will be posted on the Lake County Health Department's website and other multi-media sources when this information becomes available.</p>
<ol>
<li>Please visit <a href=""https://www.coronavirus.in.gov/vaccine/index.htm"" target=""_blank"" rel=""noopener"">https://www.coronavirus.in.gov/vaccine/index.htm</a> for more information.&nbsp;</li>
<li>The Lake County Health Department is seeking volunteers to assist with vaccinating and registering at vaccination sites. Please contact Sandy Smoljan at smoljsl@lakecountyin.org</li>
</ol>"
Does the Lake County Prosecutor issue restraining orders?,"<p>No, to obtain a restraining order you must contact the<a href=""/departments/clerk""> Lake County Clerk's Office</a>.</p>"
"What is a safe way to celebrate the holidays?
","Postponing travel and staying home is the best way to protect yourself and others this year. Limit gatherings to people living in the household. If you are having guests to your home, be sure that people are wearing masks and staying 6 feet apart."
"Who should quarantine and for how long?
","<ol>
<li>If you or a member of your family has been in close contact (within 6 feet for of more than 15 minutes over a 24-hour period, even if you are wearing a mask to lower your risk of infection) with someone who has COVID-19, you should quarantine. People in quarantine should stay home, separate themselves from others and monitor their health. You should also quarantine if you provided care at home to someone who is sick with COVID-19, had direct physical contact with the person (hugged or kissed them), shared eating or drinking utensils or if someone you know with COVID-19 sneezed, coughed, or somehow got respiratory droplets on you. If you are symptomatic or waiting for a test result, you and other members of your household should quarantine. b.	Quarantine can end after 10 days if the person has not developed any symptoms. A test is not required.&nbsp;</li>
<li>Quarantine can end after seven days if the person tests negative for COVID-19 on day five, six or seven of the quarantine and has not developed any symptoms.</li>
</ol>"
What is COVID-19 & how is it effecting hospitals?,"<ol>
<li>COVID-19 is a contagious respiratory illness caused by a new Coronavirus called SARS-CoV-2. People with COVID-19 sometimes have a cough, fever, feel like it's hard to breathe, or even lose their sense of taste or smell. Other symptoms include congestion or runny nose, diarrhea, headache, nausea or vomiting, muscle pain or fatigue, sore throat or chills. Symptoms range from mild to severe and may appear 2-14 days after exposure. People who have tested positive for COVID-19 do not need to quarantine or get tested again for up to 3 months as long as they do not develop symptoms again.&nbsp;</li>
<li>Hospitals are nearing capacity due to the increase in positive COVID-19 cases. Emergency rooms are being forced to bypass patients in some cases due to the lack of bed availability in hospitals.</li>
</ol>"
Where can I get tested?,"<p>Click <a href=""portal/group/health/page/covid19-testing"">HERE</a> for latest information on COVID testing in Lake County.</p>
<ul>
</ul>"
"Do I need to be retested to return to work?
","No, a negative test is not required. However, at least 10 days should have passed since the symptoms first appeared, and at least 24 hours since the last fever without the use of fever­ reducing medications and COVID-19 symptoms have improved to end the isolation."
What is the LCHD's role during the COVID-19 outbreak?,"<p><span>The LCHD Health Officer and staff are working in coordination with the Indiana State Department of Health and infectious disease specialists in local hospitals to closely follow and implement CDC recommendations for the protection of the local community. We are also readying our emergency preparedness team and coordinating with various government and non government agencies.</span><br /><br /><span>     *   Nurses and support staff are calling all people who are confirmed COVID-19 positive in order to advise self-quarantine and isolation precautions. Nurses are also contacting their high risk close contacts. Positive individuals are advised to inform all of their close contacts of their risk and advise self-quarantine. Due to the high number of confirmed COVID-19 cases in Lake County, our nurses are no longer able to contact all close contacts, but are still contacting those close contacts who are high risk. For more information about who is high risk, visit </span><a onclick=""javascript:openExtWindow('https://www.cdc.gov/coronavirus/2019-ncov/need-extra-precautions/people-at-higher-risk.html')"" rel=""noreferrer"" href=""javascript:void(0)"">https://www.cdc.gov/coronavirus/2019-ncov/need-extra-precautions/people-at-higher-risk.html</a><br /><br /><span>     *   The food safety division inspectors are inspecting take-out and drive-through restaurants to ensure adherence to all food safety guidelines. Inspectors also respond to complaints regarding any sit-down restaurants that still operate. Those restaurants will be closed down as sit-down service is in violation of the Governor’s order.</span><br /><br /><span>     *   The environmental safety division inspectors are investigating non-essential businesses still operating in Lake County. If it is a clear violation of the Governor’s order, then they can be shut down. As the Governor’s order is updated often and open to interpretation regarding essential businesses, we will work with our legal department for clarification and our legal department will follow up.</span><br /><br /><span>     *   Our emergency preparedness directors work in close contact with the District 1 emergency preparedness team, hospitals, and all local emergency teams. POD (point of distribution) sites are located in various parts of Lake County in case of medication or vaccination distribution or other emergency needs. At this time, there is no COVID-19 vaccination.</span><br /><br /><span>     *   Vital records (birth and death certificates) are currently processed by mail.</span><br /><br /><span>     *   The LCHD receives a supply of PPE (personal protective equipment) from the National Stockpile via the Indiana State Department of Health and distributes it to necessary departments and individuals according to the guidelines. Hospitals, local nursing homes, dialysis centers, home health agencies, police, and physicians who are not employed by a hospital can request PPE including masks, gowns, face shields, and gloves. PPE will be distributed depending on LCHD availability.</span></p>"
What is a close contact?,"<p>A close contact is a person who was either within 6 feet of a person confirmed to have COVID-19 for about 10 minutes or more, or had close physical contact with a confirmed case. Close physical contact includes hugging, touching, sharing household items like eating utensils, or being around a sick person coughing.</p>"
Is the Lake County Health Department open?,"<p>The LCHD is accessible by phone weekdays from 8:30am to 4:30pm. The building is closed to the public. We receive a large number of calls daily and are doing our best to answer them. If you&rsquo;re unable to reach us quickly, please be patient.</p>"
What is isolation?,"<p>Isolation is for a person who has tested positive for COVID-19. Isolation means staying home and separating from others in the household by staying in a separate bedroom and using a separate bathroom, if possible. Isolation is discontinued after 72 hours without symptoms and at least 7 days since the onset of symptoms.</p>"
Does the LCHD offer antibody testing?,"There is no FDA approved antibody test available in the United States. When an antibody test is approved, we will work with the Indiana State Department of Health to make it available in Lake County.
"
How is Lake County working with local hospitals on the COVID-19 response?,"<p>Lake County receives its national stock pile of emergency supplies, which is distributed to local nursing homes, home health agencies, dialysis centers, police officers and non-hospital employee physicians.</p>
<p>Everyone&rsquo;s requirements are different, and we determine how to prioritize based on various levels of immediate need and the availability of our supplies. Lake County hospitals receive their own supplies directly from the Indiana State Department of Health in a separate process.</p>
<p>Nurses are fielding and making 400-plus phone calls daily &mdash; either by answering COVID-19 questions from the public or calling out to track active and potential cases.</p>
<p>The nurses are also tracking all positive cases and their recent contacts to advise quarantine precautions.</p>
<p>The emergency preparedness team is attending risk management meetings and making sure that emergency supplies reach the departments in need of them.<br /><br />The county&rsquo;s food safety department is still inspecting operating drive-thru restaurants and eateries with takeout to keep the food safety. The health department is working in conjunction with the infectious disease divisions of the hospitals, she said.</p>"
Is the Lake County Health Department doing contact tracing?,"Yes, the LCHD is doing contract tracing for high risk close contacts of confirmed cases."
When will results from recent testing sites be available?,Positive results will be available from testing sites in Merrillville and Gary in approximately 72 hours via phone call. Everyone will receive results in 5-6 working days.
What would you say to people who still believe this is a hoax or believe public health experts have blown the COVID-19 outbreak out of proportion?,"<p>The spread of the COVID-19 virus must be taken seriously by all members of the community due to its aggressive nature and severe medical consequences. It is vital that each and every one of us follow the advice of health care professionals, health departments and medical institutions. Even if someone only experiences mild symptoms, they may infect high-risk individuals, such as the elderly or immunocompromised persons, whose conditions could become fatal.</p>
<p>We are all responsible for protecting our personal health as well as the health of our fellow community members and should do everything possible to reduce the spread of this infection.</p>"
"Do I have to wear a cloth mask in public, even if I feel healthy?","<p>The CDC now recommends that people wear cloth face coverings in public, even if you don&rsquo;t feel sick. This may help reduce transmission from people who are asymptomatic (people who don&rsquo;t feel sick but still have an infection). More information:&nbsp;</p>
<ul>
<li><a onclick=""javascript:openExtWindow('https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/diy-cloth-face-coverings.html')"" href=""javascript:void(0)"">https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/diy-cloth-face-coverings.html</a></li>
<li><a onclick=""javascript:openExtWindow('https://youtu.be/KDbCXdo3Gbw')"" href=""javascript:void(0)"">Proper Mask Wearing Technique</a></li>
</ul>"
"What if I have a pre-existing medical condition but no symptoms?
","<p>People with pre-existing conditions should make sure to take their prescribed medications regularly, receive medications by mail and avoid the pharmacy in-person when possible. They should stay active in the house, exercise or be active outdoors if the weather permits. Vavilala said it's OK to postpone regular checkups if the person doesn&rsquo;t have any active health concerns</p>"
What is self-quarantine?,"<p>Self-quarantine is for a close contact of a confirmed COVID-19 case. Self-quarantine means staying home for 14 days and monitoring for symptoms. Check your temperature twice a day and stay away from others in the home who are vulnerable. If there are no symptoms after 14 days, self-quarantine is over.  Information on symptoms of COVID-19 can be found here: <a onclick=""javascript:openExtWindow('https://www.cdc.gov/coronavirus/2019-ncov/symptoms-testing/symptoms.html')"" href=""javascript:void(0)"">https://www.cdc.gov/coronavirus/2019-ncov/symptoms-testing/symptoms.html</a></p>"
How can I maintain a clean environment inside the home?,"<p>Use disinfectant wipes to clean surfaces, and if wipes are not available, diluted bleach.</p>
<p>Clothes should be washed daily with soap and water, but if you are unable to wash clothes daily, they should be placed in a laundry bag and tied and left in a separate bathroom used by the person with symptoms.</p>
<p>A bleach solution can be prepared by mixing 1/3 cup of bleach per one gallon of water or four teaspoons bleach per quart of water.</p>"
What is social distancing?,"Social distancing means avoiding close contact with others in order to reduce risk of spreading COVID-19. This includes trying to maintain a distance of 6 feet from others, avoiding social gatherings, avoiding nonessential travel, and practicing hygiene like frequent hand washing and cleaning and disinfecting surfaces."
What is the cost of amenities?,"<p>Amenities will vary by facility and must be approved separately by the Fairgrounds Superintendent. Fees are as follows:</p>
<table border=""1"" cellpadding=""5"">
<tbody>
<tr>
<td>Amenity</td>
<td>Fee Per Day</td>
</tr>
<tr>
<td>Stage (size)</td>
<td>$100 to $150</td>
</tr>
<tr>
<td>4H sound system</td>
<td>$50</td>
</tr>
<tr>
<td>Industrial building PA system</td>
<td>$50</td>
</tr>
<tr>
<td>Portabl 100-amp electrical service</td>
<td>$50</td>
</tr>
<tr>
<td>*Self-contained (primitive) camping (no electric)</td>
<td>$15</td>
</tr>
<tr>
<td>**Self-contained (primitive) camping (with electric)</td>
<td>$25</td>
</tr>
<tr>
<td>Electric (per hook-up)</td>
<td>$5</td>
</tr>
<tr>
<td>Notes to table:<br />*Only allowed with certain events and collected by Lessee<br />**Arrangements for special electric hookups must be made through the Superintendent's office for a qualified electrician, any costs to be paid by Lessee</td>
<td>&nbsp;</td>
</tr>
</tbody>
</table>"
What web browsers are supported?,"<p><span>For best user experience, please use the latest versions of Chrome or Firefox browsers. We are currently working on providing better support for all browser types but, currently, you may get mixed results with Internet Explorer, Edge and Safari.</span></p>"
When do I need a food permit?,"If you plan on serving food during your public event, you must obtain a temporary food permit from Lake County Health Dept. Such permit must be obtained directly from the Lake County Health Dept and must be submitted at least 10 days before event. Food permit must be provided to Fairgrounds staff upon request."
Is there an extra fee for events charging admission?,"<p>If during the online reservation you designate your event as ""Charge for Door Entry"", there will be a door fee of $0.50/person payable after the event. This fee must be paid within 30 days of the event.</p>
<p>This fee is NOT based on Estimated Attendance provided during online reservation. This fee will be calculated based on the actual attendance.</p>"
Can I reserve a facility for multiple date ranges within single reservation?,"No, you may only reserve for a single date range in a single transaction. You may, of course, submit multiple transactions OR if you wish to pre-pay for multiple events using cash, single check or single credit card charge, please contact the Fairgrounds office."
What if I’m still required to go to work? What can I do to protect myself?,<p>Exercise health safety precautions: Wash your hands frequently; avoid touching the face with unwashed hands; and try to maintain a safe distance of 6 feet from co-workers if possible to avoid droplet transmission.</p>
"How can I practice self-care and maintain my mental health during the statewide stay-at-home order?
","<p>It's important for everyone to follow a schedule, even at home, in order to maintain some structure. Try to avoid excessive screen time. It&rsquo;s OK to watch or read the news to stay updated on the current situation, but avoid watching it all day because doing so can cause undue stress and anxiety.</p>
<p>Call family and friends often and FaceTime or Skype if possible. Stay active by exercising regularly and maintain a healthy sleep schedule. Make sure to enrich your schedule with activities you enjoy or projects you might be passionate about, and clearly communicate with those you share a residence with during an extended period of isolation/quarantine. If you have a psychiatrist or therapist, please contact them for further instructions.</p>"
"When should I call a doctor? When should I go to the ER?
","<p>Older adults and people with underlying medical conditions like lung or heart disease or diabetes are at higher risk of developing more serious complications from COVID-19 and should seek care as soon as symptoms arrive, Vavilala said.</p>
<p>Go to the ER if you have difficulty breathing, persistent pain or pressure in the chest, new confusion or disorientation, and/or bluish lips or face, and call your primary care physician if you exhibit other concerning symptoms, she added.</p>
<p>Please call the ER ahead of your arrival to receive the correct instructions to ensure your medical safety as well as that of the hospital staff.</p>"
Do I need to have insurance for my event?,All business events and certain event types (such as weddings) require certificate of insurance to be provided during the online reservation process.
What is the alcohol policy?,"<p>For public events, alcohol may be served but will require a certified server, certificate of insurance, and a temporary beer and wine permit (must be provided to Fairgrounds staff upon request).</p>
<p>For hard liquor or full bar service, and INDIANA licensed caterer must provide and serve the alcohol.</p>
<p>More information can be found here:&nbsp;<a href=""javascript:openExtWindow('https://www.in.gov/atc/2409.htm');"">https://www.in.gov/atc/2409.htm</a></p>"
What are the rental rates for each facility?,"<p>On the website front page, click the Facilities button. There is a Rental Rates button for each facility listed. Rate is determined by the customer type and residential status.</p>
<p>Customer type is provided during the sign up process:</p>
<ul>
<li>Type 1: Indiana non-profit corporation (proof required)</li>
<li>Type 2: 501c non-profit organization (proof required)</li>
<li>Type 3: City of Crown Point or its affiliate (proof required)</li>
<li>Type 4: Lake County government agency (proof required)</li>
<li>Type 5: Individual or corporation</li>
</ul>"
Can I reserve more than one facility within single reservation?,"Certain facilities may be reserved in groups (for example, 4H Building + Shelter #1). Facility groups are listed as options during the reservation process. If combination of facilities you are interested in is not listed, you will have to reserved then individually."
How is the reservation date range and total rental fee determined?,"<div>Reservation date range is determine as follows:</div>
<ol>
<li><strong>Setup</strong> - any event preparations take place; customer is charged flat set up fee per each day between setup date and event start date (a single day prior to event start is included if between 2pm and 9pm or 14 and 21 in military time)</li>
<li><strong>Event start</strong> - start of the event; customer is charged flat fee per each day between event start and event end dates</li>
<li><strong>Event end</strong> - end of the event</li>
<li><strong>Tear down</strong> - any event clean up and disassembly take place; customer is charged flat setup fee per each day between event end and tear down dates</li>
</ol>
<p>Total rental fee is a sum of:</p>
<ol>
<li>Rental Fee</li>
<li>Deposit Fee (this fee is refundable; see rental agreement for details)</li>
<li>Setup + Tear down Fee</li>
<li>Amenity Fee</li>
<li>Transaction Fee (2.45% of rental fee or $1.49 whichever is greater)</li>
</ol><ol> </ol>"
Is the deposit refundable?,"<p>Per rental agreement, all customers are required to return building to moved in condition in order to receive clean-up deposit. Clean-up deposit is refunded using a mailed check within 2 weeks after event end. If you don't receive a refund check after 2 weeks, please contact the Fairgrounds office.</p>
<p>The entire security deposit is refunded or nothing at all (no partial refunds)</p>"
I did not get my confirmation email? Can I still get a copy of receipt and rental agreement?,"<p>If you did not receive your confirmation email within 5-20 minutes of submitting your reservation, please check your Spam mailbox. If you still cannot locate the confirmation email, you may reprint these documents. Simply login to your reserve.lakecountyin.org account, select the reservation from the list and click Rental Agreement button. Receipt is available by clicking the Receipts tab and then clicking the PDF icon next to the receipt listed.</p>"
"What is a ""marquee""?",Language for the digital signage (included with each business or organizational event online reservation)
Why do I have only 15 minutes to complete my reservation?,"This feature is provided as courtesy to others and to prevent overbooking. If you close down the browser in the middle of transaction, the date range selected will remain locked for the full 15 minutes. If you cancel the reservation in progress using the Cancel or Back button, the date range selected becomes immediately available for re-selection."
Is there a charge for time required to setup and/or teardown the event?,"<ol>
<li>Setup day <strong>before first event date</strong> is included (no setup fee is charged) if done between 2 pm and 9 pm. Otherwise, setup fee is charged</li>
<li>Setup fee is <strong>always</strong> charged with <strong>multiple</strong> setup days</li>
<li>Teardown day(s) always incurs a charge equal to setup rate</li>
</ol>"
When is security required?,"<ul>
<li>Security is required if money is exchanged or if alcohol is served</li>
<li>Security is provided by the Lake County Sheriff Department @ $25/hr/officer payable directly to the officer at the time of event</li>
<li>Currently, Fairgrounds Superintendent makes all security arrangements and determines the number of officers needed</li>
<li>Customer does not need to do anything during the online registration with the exception of providing the hours security is needed&nbsp;</li>
</ul>"
Can I cancel my reservation?,"We allow cancellation up to 30 days in advance of reservation. If less than 30 days, cancellation is allowed on case by case basis"
